Name,Uses,date_added,quantity_received,available_quantity
Metformin,"Metformin is a medicine used to treat type 2 diabetes, and to help prevent type 2 diabetes if you're at high risk of developing it. Metformin is used when treating polycystic ovary syndrome (PCOS), although it's not officially approved for PCOS",1/19/2021,200,200
Docusate Sodium,"For relief of occasional constipation.
This product generally produces a bowel movement within 12 to 72 hours.
Helps to prevent dry, hard stools",1/20/2021,200,200
Bamlanivimab ,Bamlanivimab (LY-CoV555) is a neutralising monoclonal antibody intended for the treatment of mild to moderate Covid-19.,1/21/2021,200,200
Baricitinib ,"Baricitinib is used to treat rheumatoid arthritis. It helps decrease pain, tenderness, and swelling in the joints.",1/22/2021,300,300
Hydroxychloroquine,"Hydroxychloroquine and chloroquine are FDA-approved to treat or prevent malaria. Hydroxychloroquine is also FDA-approved to treat autoimmune conditions such as chronic discoid lupus erythematosus, systemic lupus erythematosus in adults, and rheumatoid arthritis",1/23/2021,450,450
Descovy,Descovy is a brand-name prescription drug. It's used for two purposes: to treat HIV and to lower the risk of contracting HIV. Treating HIV. Descovy is FDA-approved along with other HIV medications to treat HIV in adults and in children who weigh at least 77 pounds (35 kilograms).,1/24/2021,200,200
Remdesivir,Remdesivir is used to treat people with coronavirus disease 2019 (COVID-19) who are in a hospital. Remdesivir is for use in adults and children at least 12 years old and weighing at least 88 pounds (40 kilograms).,1/25/2021,300,300
Colchicine,Colchicine is a medicine for treating inflammation and pain. It can be used to: treat flare-ups (attacks) of gout. prevent increased flare-ups of gout when you first start on a medicine like allopurinol – taken to manage your condition long term.,1/26/2021,450,450
Baricitinib,"Baricitinib is used to treat rheumatoid arthritis. It helps decrease pain, tenderness, and swelling in the joints",1/27/2021,500,500
Chloroquine phosphate,Chloroquine phosphate is used to prevent and treat malaria. It is also used to treat amebiasis. Chloroquine phosphate is in a class of drugs called antimalarials and amebicides. It works by killing the organisms that cause malaria and amebiasis.,1/28/2021,190,190
